Age,Branch,Study_Hours_per_Day,Sleep_Hours,Screen_Time_Hours,Gym_Hours_per_Week,Diet_Type,Attendance_Percentage,Stress_Level_1_to_10,Residence,Internal_Marks,CGPA
20,Civil,5.0,5.54,6.38,4.8,Veg,90.27,6.54,Day Scholar,75.42,7.38
23,Electrical,1.68,7.4,7.21,3.59,Veg,71.88,1.61,Day Scholar,69.58,6.88
24,Electrical,3.07,5.2,4.88,16.18,Non-Veg,81.9,4.35,Day Scholar,52.62,6.41
19,CSE,6.84,7.35,8.58,10.42,Veg,95.67,6.81,Hosteller,76.47,9.0
17,IT,6.56,8.52,7.33,8.44,Veg,90.21,5.16,Hosteller,77.59,9.06
20,Civil,3.38,5.87,6.02,1.56,Non-Veg,79.49,4.64,Day Scholar,70.99,7.42
18,Mechanical,4.58,4.18,7.51,11.5,Veg,84.56,7.44,Hosteller,65.96,6.31
24,ECE,5.81,8.53,4.16,21.0,Non-Veg,86.16,6.46,Hosteller,65.81,7.59
20,Mechanical,5.02,7.61,2.66,11.93,Non-Veg,86.1,5.52,Day Scholar,56.34,6.17
18,IT,3.59,5.93,5.64,9.78,Veg,76.97,4.95,Hosteller,49.65,5.94
22,Electrical,2.88,6.24,4.89,11.04,Veg,78.1,2.84,Day Scholar,65.11,6.29
22,Mechanical,5.3,5.17,4.6,5.16,Veg,88.97,6.84,Hosteller,69.78,7.3
20,CSE,5.7,8.2,7.43,5.11,Non-Veg,83.22,6.11,Day Scholar,65.54,7.74
22,IT,6.57,5.86,5.33,5.04,Veg,87.11,7.15,Hosteller,52.34,6.98
18,Electrical,1.47,4.8,5.53,3.78,Non-Veg,66.9,3.51,Hosteller,56.7,5.72
18,ECE,2.12,6.76,4.35,5.03,Veg,70.77,2.14,Hosteller,55.1,6.44
20,Electrical,5.74,5.47,6.76,5.0,Veg,92.52,7.64,Hosteller,71.52,7.48
24,CSE,1.67,5.26,6.4,5.63,Veg,70.93,2.97,Day Scholar,58.92,6.38
23,IT,5.86,5.98,6.75,5.47,Veg,96.58,7.05,Hosteller,61.64,7.87
25,ECE,3.68,6.6,4.01,8.36,Veg,76.05,3.66,Day Scholar,51.32,6.15
24,CSE,3.22,4.84,7.61,7.44,Veg,73.47,6.69,Day Scholar,51.47,5.92
21,Electrical,4.31,8.16,8.68,7.94,Veg,76.74,2.46,Hosteller,72.39,8.42
18,CSE,1.98,7.31,6.68,15.52,Veg,73.66,2.65,Hosteller,56.8,6.25
21,IT,5.24,6.06,3.38,7.43,Veg,86.29,5.59,Day Scholar,61.48,6.61
24,Civil,6.53,5.42,3.4,19.38,Non-Veg,83.4,7.26,Hosteller,78.88,7.77
25,CSE,5.31,6.39,4.25,8.98,Veg,87.54,5.21,Day Scholar,78.24,8.43
25,CSE,3.63,7.58,3.87,4.5,Veg,79.48,1.34,Hosteller,70.47,7.0
17,Electrical,1.69,7.39,4.86,14.56,Non-Veg,67.74,1.74,Day Scholar,56.63,6.56
25,Electrical,1.75,7.77,6.26,6.55,Veg,70.24,1.0,Hosteller,72.16,7.37
23,ECE,2.01,5.92,5.58,0.0,Non-Veg,63.93,2.72,Hosteller,62.29,7.13
25,Electrical,3.98,3.0,5.4,6.98,Veg,88.11,8.74,Day Scholar,42.3,5.21
24,Mechanical,4.17,8.0,4.52,5.6,Veg,82.75,3.9,Day Scholar,75.27,8.9
17,IT,5.3,6.3,4.85,16.0,Non-Veg,77.64,4.57,Day Scholar,51.34,7.17
24,IT,1.31,7.3,6.59,1.97,Veg,66.5,1.32,Hosteller,56.83,5.84
24,Civil,5.97,8.5,1.0,5.14,Non-Veg,91.87,5.6,Hosteller,75.52,9.11
19,Civil,5.04,9.42,4.98,14.1,Veg,79.64,1.98,Hosteller,80.3,8.14
17,IT,3.51,5.72,5.58,9.21,Non-Veg,80.22,5.3,Hosteller,61.14,6.89
24,Civil,2.22,6.66,6.57,6.04,Non-Veg,79.48,1.41,Day Scholar,56.04,7.09
19,ECE,5.87,8.14,2.98,2.76,Veg,86.15,5.12,Day Scholar,67.91,8.17
19,Electrical,3.55,5.49,2.87,8.97,Non-Veg,79.89,5.19,Hosteller,59.05,6.46
17,IT,3.97,5.8,6.17,6.84,Veg,80.89,5.83,Hosteller,45.94,6.15
21,Civil,4.58,5.79,1.19,2.7,Non-Veg,87.72,6.38,Hosteller,64.43,6.83
23,IT,2.63,6.47,7.66,2.99,Veg,72.61,1.81,Day Scholar,58.45,7.34
25,Mechanical,3.58,6.24,5.45,2.44,Non-Veg,72.55,4.48,Day Scholar,57.88,6.84
23,CSE,5.3,5.79,8.12,1.44,Veg,91.01,7.96,Hosteller,60.89,6.65
25,Electrical,5.15,5.34,2.83,12.23,Veg,80.69,4.62,Day Scholar,73.41,7.9
24,IT,5.16,7.47,4.13,11.48,Non-Veg,94.84,5.65,Hosteller,82.51,8.72
18,CSE,2.27,8.11,1.0,12.24,Non-Veg,74.14,2.76,Hosteller,56.64,7.02
17,Civil,3.65,8.28,3.41,7.03,Veg,75.23,1.0,Day Scholar,79.03,8.95
23,CSE,3.41,5.92,4.63,5.64,Veg,82.57,3.81,Day Scholar,64.87,6.6
23,Electrical,4.64,7.52,1.07,5.74,Veg,83.14,4.63,Day Scholar,63.54,7.23
24,IT,4.5,6.78,4.21,12.72,Veg,81.41,3.83,Day Scholar,74.69,8.14
21,Mechanical,4.23,5.82,1.03,0.0,Veg,77.76,6.78,Hosteller,59.77,6.55
19,Civil,7.7,7.38,4.49,4.12,Non-Veg,89.1,8.38,Day Scholar,88.83,9.15
24,IT,3.56,5.76,7.29,2.03,Veg,80.84,3.42,Day Scholar,69.02,7.93
22,Electrical,3.39,6.05,4.93,14.62,Non-Veg,68.8,3.6,Day Scholar,61.3,7.58
19,Civil,2.26,4.85,8.32,4.33,Non-Veg,67.36,5.19,Day Scholar,50.79,6.18
17,ECE,1.69,5.94,6.57,0.0,Veg,70.63,3.48,Hosteller,40.97,4.45
19,CSE,2.17,6.8,7.7,8.25,Veg,68.34,4.58,Hosteller,50.74,6.51
21,Electrical,2.92,8.38,3.47,4.93,Veg,75.4,1.0,Day Scholar,74.33,8.56
19,ECE,5.97,6.08,3.42,3.88,Veg,83.76,8.35,Day Scholar,60.26,6.65
17,IT,4.06,5.25,5.69,3.3,Non-Veg,78.55,4.89,Hosteller,59.38,7.02
21,Mechanical,4.29,8.3,1.84,3.08,Veg,82.27,3.49,Hosteller,70.61,7.66
23,Civil,3.86,5.89,5.94,10.97,Non-Veg,74.52,5.85,Day Scholar,68.87,7.25
23,CSE,4.55,4.4,4.35,8.25,Veg,91.17,4.15,Hosteller,64.24,6.89
25,Civil,6.1,6.66,7.66,5.89,Veg,87.33,7.35,Hosteller,58.78,7.39
19,IT,1.01,6.11,6.36,0.85,Veg,71.94,3.28,Hosteller,50.89,5.61
23,Civil,5.83,9.26,7.19,6.05,Veg,88.3,4.66,Hosteller,90.79,10.0
17,CSE,0.5,7.07,3.49,8.46,Veg,54.66,2.48,Day Scholar,56.34,6.47
20,IT,4.04,6.32,7.1,8.67,Veg,74.53,5.68,Hosteller,71.69,7.79
20,Civil,7.29,5.39,7.89,7.9,Non-Veg,97.32,8.36,Hosteller,64.71,7.04
21,Mechanical,5.02,6.9,4.92,1.83,Non-Veg,90.27,6.36,Day Scholar,61.18,6.85
23,Electrical,4.56,8.25,3.52,0.0,Veg,91.65,2.72,Day Scholar,78.13,9.24
23,IT,7.0,6.87,3.56,17.08,Veg,95.66,7.21,Day Scholar,67.67,7.53
20,Electrical,2.95,5.48,7.48,0.0,Veg,68.84,5.29,Hosteller,62.79,5.94
23,IT,4.65,7.15,10.37,0.0,Veg,84.65,4.95,Day Scholar,76.89,8.76
19,Mechanical,4.87,6.44,3.04,7.73,Veg,80.21,6.78,Hosteller,65.48,6.69
22,Electrical,3.22,7.04,2.88,0.0,Veg,78.04,5.67,Day Scholar,51.74,5.73
18,ECE,3.35,6.07,6.84,2.49,Veg,72.04,3.14,Hosteller,61.76,7.31
25,CSE,3.18,6.05,3.49,10.07,Veg,65.47,3.81,Day Scholar,53.3,6.09
21,ECE,4.13,6.0,7.04,16.93,Veg,87.24,5.45,Day Scholar,68.88,7.66
22,Civil,4.82,7.63,5.93,9.17,Veg,82.97,3.73,Hosteller,73.95,7.85
20,Mechanical,4.18,6.06,4.95,4.54,Non-Veg,81.17,5.05,Day Scholar,71.84,6.66
23,ECE,5.06,5.95,5.88,6.71,Veg,90.3,6.89,Day Scholar,64.85,7.18
25,IT,1.05,5.37,5.76,0.0,Veg,74.63,3.32,Day Scholar,43.38,5.5
23,Civil,3.67,7.04,4.64,4.48,Veg,81.96,3.88,Day Scholar,59.91,7.58
17,Civil,2.46,6.87,1.49,4.48,Non-Veg,72.84,2.74,Day Scholar,63.53,7.29
17,ECE,4.45,5.96,5.36,7.86,Non-Veg,84.58,5.27,Hosteller,58.93,7.18
25,ECE,4.43,5.65,8.15,17.88,Non-Veg,80.68,7.19,Hosteller,57.25,6.05
25,Mechanical,3.83,8.75,1.78,0.0,Veg,79.31,3.74,Day Scholar,77.44,8.29
20,CSE,4.77,4.24,3.07,4.72,Veg,84.55,8.54,Day Scholar,51.46,5.8
25,ECE,5.5,7.09,5.85,0.0,Non-Veg,83.55,4.26,Hosteller,75.33,8.01
19,ECE,3.91,8.05,5.08,4.18,Veg,79.65,2.6,Hosteller,74.55,8.25
23,Electrical,2.42,3.0,5.82,2.16,Veg,73.95,6.62,Day Scholar,46.26,4.1
22,IT,1.63,7.45,3.6,0.0,Non-Veg,70.73,1.0,Hosteller,69.4,7.36
24,Electrical,4.05,6.24,7.32,12.11,Veg,82.46,4.9,Day Scholar,70.25,7.31
25,Electrical,4.36,6.81,5.09,8.43,Veg,75.12,4.58,Day Scholar,66.26,8.17
21,Civil,2.55,6.11,6.39,11.46,Veg,78.87,4.52,Day Scholar,49.44,6.14
17,CSE,5.09,7.79,5.64,4.02,Veg,91.17,3.8,Day Scholar,84.6,9.13
19,IT,3.31,6.94,5.35,6.6,Veg,76.08,4.54,Hosteller,57.75,7.28
24,Mechanical,1.52,6.66,6.25,15.93,Non-Veg,69.85,1.0,Hosteller,59.22,6.93
22,Mechanical,5.88,5.42,5.37,6.98,Non-Veg,88.34,6.65,Hosteller,82.67,8.53
24,ECE,5.72,8.76,2.62,11.52,Veg,92.34,3.58,Day Scholar,79.17,9.16
25,ECE,0.98,6.51,7.17,3.54,Non-Veg,60.81,1.51,Hosteller,49.53,6.18
20,Mechanical,3.16,9.25,6.64,11.01,Veg,82.49,1.0,Day Scholar,79.88,8.51
17,ECE,3.1,8.81,1.0,3.93,Veg,79.0,1.74,Day Scholar,80.82,7.83
17,CSE,6.46,4.37,3.69,0.0,Non-Veg,95.92,10.0,Hosteller,58.38,6.94
20,Electrical,3.85,5.71,7.08,6.96,Non-Veg,78.73,5.79,Day Scholar,72.52,7.38
23,ECE,1.76,5.26,1.35,4.37,Non-Veg,61.72,3.29,Day Scholar,50.36,6.11
18,Civil,5.32,6.44,6.89,0.0,Non-Veg,91.04,4.8,Day Scholar,72.23,8.09
19,ECE,2.15,6.72,4.72,8.07,Non-Veg,63.87,1.0,Hosteller,69.28,7.74
17,IT,3.61,6.78,7.68,2.0,Non-Veg,82.53,2.19,Day Scholar,72.21,8.46
21,CSE,2.85,7.76,5.0,21.0,Veg,70.37,1.95,Hosteller,71.42,7.45
17,IT,3.16,8.29,3.56,0.0,Non-Veg,67.86,3.97,Day Scholar,59.33,7.45
24,IT,5.41,7.66,5.62,0.21,Non-Veg,87.03,2.03,Hosteller,87.09,9.57
17,Civil,6.28,5.83,4.94,11.87,Non-Veg,97.32,8.16,Day Scholar,74.25,7.65
17,CSE,2.09,5.56,3.38,6.26,Veg,65.61,2.85,Hosteller,54.18,5.58
18,CSE,4.94,6.5,9.44,11.76,Veg,92.69,5.1,Hosteller,76.48,8.23
18,CSE,2.9,7.01,3.06,9.13,Veg,77.79,1.95,Day Scholar,78.29,7.82
22,CSE,2.95,6.28,1.0,3.74,Veg,75.52,2.3,Day Scholar,67.59,7.63
23,CSE,4.74,4.89,8.16,0.0,Non-Veg,81.5,6.98,Day Scholar,47.54,6.13
21,Civil,2.46,7.32,3.83,13.0,Veg,70.46,2.4,Day Scholar,66.32,7.29
17,ECE,4.71,6.03,4.41,0.0,Veg,85.68,6.35,Hosteller,67.3,7.55
17,IT,5.1,5.99,4.28,10.13,Non-Veg,89.71,4.42,Day Scholar,56.83,7.49
19,CSE,3.35,6.43,3.86,12.15,Veg,73.79,4.79,Hosteller,53.33,6.55
18,ECE,5.99,6.21,3.47,6.29,Veg,85.92,7.67,Day Scholar,65.43,7.97
21,ECE,2.09,6.06,3.01,5.3,Veg,69.38,3.46,Hosteller,50.8,6.1
22,IT,6.02,4.96,5.13,1.49,Non-Veg,97.06,7.63,Hosteller,63.13,7.21
23,Civil,1.08,6.37,4.2,9.59,Veg,59.34,2.03,Hosteller,50.62,5.8
20,Mechanical,8.05,7.34,6.46,0.0,Non-Veg,100.0,7.55,Day Scholar,85.61,9.94
23,Mechanical,3.39,6.82,5.97,11.01,Veg,77.16,4.54,Day Scholar,59.39,7.3
24,ECE,2.26,7.64,3.14,7.67,Veg,63.02,1.25,Hosteller,68.29,7.38
17,Electrical,3.65,5.63,5.22,5.75,Veg,75.95,5.13,Hosteller,59.57,6.55
22,Electrical,2.43,4.97,4.16,8.36,Non-Veg,75.2,2.73,Hosteller,54.91,6.02
24,IT,4.58,6.2,3.02,0.0,Veg,91.91,5.68,Hosteller,73.96,7.23
21,Mechanical,6.05,5.76,6.38,0.0,Veg,83.62,6.54,Hosteller,74.2,8.15
20,ECE,2.51,5.89,4.76,9.62,Veg,58.45,4.13,Day Scholar,52.51,6.04
18,Civil,4.87,6.75,4.18,14.37,Non-Veg,77.8,5.9,Hosteller,67.46,7.55
22,Mechanical,1.7,5.9,3.29,0.0,Veg,74.16,2.19,Day Scholar,57.71,6.36
22,ECE,5.55,5.0,2.94,1.11,Non-Veg,78.78,7.58,Day Scholar,72.79,7.75
17,ECE,4.62,5.83,8.98,11.21,Non-Veg,90.61,5.97,Day Scholar,61.26,6.83
25,CSE,5.61,6.91,5.67,9.01,Veg,94.15,6.07,Hosteller,65.13,8.32
22,Civil,3.82,7.31,2.82,21.0,Veg,80.04,4.3,Hosteller,71.24,8.16
19,CSE,3.35,7.29,5.58,13.02,Veg,73.6,3.71,Hosteller,64.49,7.16
20,IT,5.22,7.01,7.12,11.68,Veg,86.4,4.83,Hosteller,76.65,7.79
20,CSE,2.04,6.3,5.34,2.72,Veg,73.25,4.34,Day Scholar,55.85,6.64
19,CSE,1.39,6.99,7.75,9.94,Veg,69.22,2.15,Day Scholar,43.06,5.69
19,Mechanical,3.99,6.45,1.91,15.37,Veg,88.66,5.95,Day Scholar,64.37,7.12
19,Electrical,3.42,6.64,1.02,6.08,Veg,75.78,4.13,Hosteller,61.49,6.35
20,ECE,4.83,5.37,5.52,6.34,Veg,77.65,6.86,Hosteller,65.76,7.53
23,Civil,5.64,6.55,5.55,7.79,Veg,80.8,5.97,Hosteller,81.9,7.78
20,CSE,4.8,6.95,1.0,3.28,Non-Veg,75.61,4.4,Hosteller,81.88,7.9
25,Civil,5.52,6.91,3.75,8.51,Non-Veg,88.57,6.58,Hosteller,65.84,7.36
17,Electrical,4.48,4.95,2.98,8.37,Non-Veg,81.24,6.79,Hosteller,53.59,5.85
24,Electrical,4.74,6.62,2.22,15.29,Veg,83.87,4.99,Day Scholar,81.57,8.3
23,CSE,3.83,4.77,2.98,5.94,Veg,76.44,5.04,Day Scholar,59.42,6.65
18,IT,4.7,6.71,6.19,10.78,Veg,77.94,6.54,Hosteller,75.19,8.8
24,CSE,4.25,5.66,2.97,6.11,Veg,84.32,5.7,Day Scholar,63.53,6.57
17,Mechanical,4.49,8.55,3.03,10.58,Veg,70.12,1.71,Day Scholar,79.4,8.56
25,ECE,3.75,6.64,1.76,5.6,Non-Veg,74.74,4.19,Day Scholar,57.82,6.87
25,IT,5.21,7.46,7.54,10.21,Veg,90.0,4.55,Day Scholar,74.9,8.17
18,CSE,2.93,9.03,5.87,11.08,Veg,70.17,1.0,Hosteller,80.69,9.05
23,Civil,3.97,5.52,1.0,1.03,Non-Veg,81.82,6.03,Day Scholar,62.73,7.18
19,IT,5.97,7.02,3.04,13.17,Veg,85.84,5.75,Hosteller,63.65,7.51
23,IT,2.58,5.08,6.06,6.07,Veg,70.61,4.19,Hosteller,62.75,6.91
25,CSE,0.76,6.91,7.56,4.37,Veg,66.66,2.21,Day Scholar,57.32,6.52
20,IT,4.55,8.62,6.68,3.02,Veg,76.36,1.19,Hosteller,85.46,9.34
17,Civil,3.61,5.75,4.29,8.67,Non-Veg,81.8,4.82,Day Scholar,62.88,6.53
18,Electrical,5.52,5.44,1.14,6.97,Veg,87.81,8.01,Hosteller,61.37,6.69
17,IT,3.8,6.39,6.74,9.08,Veg,85.3,5.04,Hosteller,65.3,7.12
21,Electrical,3.09,8.95,4.41,9.19,Non-Veg,76.51,2.16,Day Scholar,66.8,7.72
21,Civil,3.89,7.43,5.14,10.41,Non-Veg,74.08,5.48,Day Scholar,76.33,7.83
23,CSE,5.64,5.41,4.65,21.0,Non-Veg,96.84,8.92,Hosteller,54.18,6.49
25,ECE,4.86,8.25,2.29,7.22,Non-Veg,79.39,2.46,Day Scholar,62.64,7.86
25,IT,0.5,4.51,5.73,2.89,Veg,61.36,1.38,Hosteller,40.9,5.14
19,ECE,4.28,9.06,5.45,0.0,Veg,86.18,2.54,Day Scholar,77.16,8.0
19,Civil,4.35,7.53,4.15,0.31,Veg,72.37,2.47,Hosteller,76.5,8.24
19,IT,3.97,8.62,5.94,13.92,Veg,87.06,1.0,Hosteller,86.79,8.91
20,Electrical,3.08,4.52,2.25,11.03,Non-Veg,69.66,5.88,Hosteller,47.55,6.02
24,Mechanical,5.79,6.7,4.46,0.0,Non-Veg,86.68,6.66,Hosteller,84.05,8.05
22,ECE,5.87,6.34,5.05,20.8,Veg,90.77,8.24,Hosteller,63.29,7.19
24,IT,0.7,5.29,1.53,8.83,Veg,63.27,3.17,Day Scholar,39.94,5.42
17,ECE,2.8,4.94,4.89,9.58,Veg,77.96,6.78,Hosteller,69.6,6.51
24,IT,3.78,7.11,6.47,19.57,Non-Veg,70.91,4.03,Day Scholar,66.22,8.09
20,CSE,5.42,7.22,4.39,16.74,Veg,90.75,4.07,Day Scholar,76.14,8.68
17,Electrical,4.05,8.06,4.93,11.37,Non-Veg,84.3,3.81,Hosteller,74.19,8.36
24,ECE,2.97,5.9,6.12,11.64,Non-Veg,80.02,5.41,Hosteller,50.61,5.38
20,Mechanical,5.06,6.33,4.22,12.17,Non-Veg,77.37,6.13,Day Scholar,59.55,7.06
22,Mechanical,3.68,4.84,4.4,5.65,Non-Veg,71.07,7.29,Hosteller,57.16,5.77
24,Civil,3.82,8.35,2.65,8.61,Non-Veg,77.41,2.35,Hosteller,74.45,7.85
20,IT,3.96,6.58,4.97,10.22,Veg,72.99,4.92,Day Scholar,58.08,6.44
19,ECE,4.86,7.37,4.33,6.29,Veg,75.29,4.32,Day Scholar,81.36,8.3
25,Civil,3.54,7.41,6.0,1.59,Veg,75.76,5.51,Day Scholar,68.47,7.65
19,ECE,5.03,8.25,6.13,5.51,Veg,86.32,4.62,Day Scholar,73.1,8.28
25,IT,3.89,5.5,6.58,1.47,Non-Veg,93.45,4.27,Day Scholar,77.29,7.48
18,Mechanical,2.4,7.34,3.98,7.36,Veg,74.74,3.91,Day Scholar,61.88,6.71
18,CSE,3.94,6.47,1.0,0.0,Non-Veg,88.49,3.74,Hosteller,60.93,7.32
18,Mechanical,2.48,9.03,6.48,8.91,Veg,72.17,1.0,Day Scholar,71.81,8.45
22,Civil,4.06,5.5,5.86,0.0,Veg,83.11,6.03,Day Scholar,54.21,6.01
19,Electrical,5.24,7.91,3.73,4.74,Non-Veg,85.49,4.89,Hosteller,53.97,7.33
25,CSE,2.39,6.92,6.11,9.82,Veg,85.36,2.95,Hosteller,52.73,6.21
20,Civil,4.55,6.86,2.1,11.43,Veg,79.3,3.56,Hosteller,75.63,8.46
17,IT,2.76,6.56,7.06,10.77,Veg,71.03,3.68,Hosteller,61.33,6.91
20,CSE,4.3,8.12,4.33,8.79,Non-Veg,85.5,4.29,Hosteller,66.67,8.11
17,Civil,5.29,6.82,3.34,0.73,Veg,87.49,6.55,Hosteller,73.47,8.41
21,IT,0.81,4.67,3.76,12.49,Veg,61.91,1.83,Day Scholar,53.47,5.29
20,Mechanical,2.33,7.96,4.54,0.86,Veg,76.44,1.0,Hosteller,79.49,8.29
24,Electrical,3.45,7.74,4.98,13.13,Non-Veg,77.03,1.66,Hosteller,71.77,7.92
24,IT,4.47,7.2,5.1,10.52,Non-Veg,82.12,4.61,Hosteller,66.87,7.47
23,ECE,3.75,5.15,4.14,14.61,Veg,79.91,4.05,Hosteller,63.13,7.1
19,IT,3.93,5.33,5.4,7.14,Veg,70.99,4.48,Day Scholar,65.99,7.2
17,IT,7.06,4.25,5.02,2.41,Non-Veg,87.36,9.15,Hosteller,65.65,7.24
17,Electrical,2.18,7.05,3.7,0.0,Veg,76.34,1.0,Hosteller,71.14,7.72
19,ECE,5.7,4.88,3.4,0.38,Veg,85.13,7.79,Day Scholar,66.43,7.1
22,Civil,3.48,4.44,6.22,0.0,Veg,76.71,3.93,Day Scholar,54.19,6.69
23,Civil,4.82,8.03,6.05,12.28,Non-Veg,92.18,4.28,Day Scholar,70.53,8.01
22,IT,7.19,7.42,5.11,12.98,Veg,95.53,6.37,Hosteller,82.05,9.01
22,ECE,5.03,6.1,6.85,10.1,Veg,84.11,5.31,Day Scholar,57.89,6.97
22,ECE,4.56,6.34,1.08,6.81,Non-Veg,87.27,4.76,Day Scholar,59.97,7.04
19,Electrical,6.4,3.61,3.87,18.54,Non-Veg,89.0,9.73,Day Scholar,57.05,6.46
22,Mechanical,5.69,7.6,2.69,6.45,Veg,94.45,5.68,Hosteller,75.66,8.5
24,Civil,2.8,5.67,9.51,8.24,Veg,78.38,5.45,Hosteller,66.34,7.25
18,Electrical,4.44,6.9,6.43,6.73,Non-Veg,91.36,5.56,Day Scholar,61.43,7.3
21,CSE,1.42,3.51,4.84,5.11,Non-Veg,63.67,7.14,Hosteller,40.84,4.0
17,Civil,3.19,7.67,6.57,10.53,Non-Veg,82.78,3.19,Hosteller,62.98,7.1
17,Electrical,4.47,5.6,7.23,3.45,Veg,85.13,6.01,Hosteller,66.67,7.33
21,Civil,3.1,4.85,7.21,3.08,Veg,68.86,4.79,Hosteller,51.3,5.91
19,Mechanical,4.41,6.09,6.84,10.82,Non-Veg,69.07,4.89,Hosteller,61.87,6.74
20,CSE,3.98,5.78,4.47,4.21,Non-Veg,75.91,5.73,Day Scholar,72.72,7.15
19,Mechanical,4.8,7.79,4.0,7.75,Veg,85.48,3.02,Day Scholar,77.02,8.77
17,CSE,3.36,6.0,3.08,5.09,Veg,79.01,4.6,Day Scholar,52.19,6.1
17,IT,2.59,8.14,6.0,6.94,Non-Veg,72.65,1.44,Day Scholar,61.57,7.3
21,Electrical,6.22,6.9,4.68,3.23,Veg,90.84,5.59,Hosteller,81.19,9.05
22,CSE,3.26,7.57,4.16,3.41,Veg,75.65,1.63,Day Scholar,75.29,8.41
